id,mountain,site,state,measure,Year,site_year,name,period,Tmax,Tmin,Tmean,TotalN,2D,3D,Arctic,Non-Arctic,Transitional,Non-Plant,Shrub
iroquois-T2-1984,iroquois,T2,NY,point,1984,iroquois-1984,Iroquois,1983-2003,8.337178082,-5.242986301,1.54709589,5.214,0.512479204,0.487520799,0.176372712,0.031613977,0.773710485,0.018302829,0.487520799
iroquois-T2-1994,iroquois,T2,NY,point,1994,iroquois-1994,Iroquois,1983-2003,9.19460274,-5.491315068,1.851643836,4.636,0.62776025,0.37784788,0.332632316,0.084121976,0.426218016,0.162635822,0.378548896
iroquois-T2-2002,iroquois,T2,NY,point,2002,iroquois-2002,Iroquois,1983-2003,8.513369863,-4.437643836,2.037863014,6.026,0.667814112,0.332185886,0.277108433,0.146299482,0.550774527,0.025817556,0.323580035
iroquois-T2-2007,iroquois,T2,NY,point,2007,iroquois-2007,Iroquois,2004-2017,9.992356164,-5.033917808,2.479219178,4.856,0.926172264,0.079813768,0.440971067,0.044895244,0.172264716,0.250748254,0.079813768
iroquois-T2-2017,iroquois,T2,NY,point,2017,iroquois-2017,Iroquois,2004-2017,7.290684932,-5.951561644,0.669561644,4.339,0.68772863,0.254406385,0.213169271,0.003220612,0.542068505,0.162287994,0.254406385
iroquois-T3-1984,iroquois,T3,NY,point,1984,iroquois-1984,Iroquois,1983-2003,8.337178082,-5.242986301,1.54709589,5.214,0.662110059,0.33788994,0.363126534,0.088678584,0.418506833,0.129688048,0.33788994
iroquois-T3-1994,iroquois,T3,NY,point,1994,iroquois-1994,Iroquois,1983-2003,9.19460274,-5.491315068,1.851643836,4.636,0.556607081,0.435681738,0.356116369,0.034349807,0.468629513,0.13319313,0.438135296
iroquois-T3-2002,iroquois,T3,NY,point,2002,iroquois-2002,Iroquois,1983-2003,8.513369863,-4.437643836,2.037863014,6.026,0.398333333,0.601666667,0.090000001,0.138333333,0.663333333,0.108333333,0.373333333
iroquois-T3-2007,iroquois,T3,NY,point,2007,iroquois-2007,Iroquois,2004-2017,9.992356164,-5.033917808,2.479219178,4.856,0.838709677,0.174592618,0.247422681,0.042234786,0.476222149,0.244762221,0.174592618
iroquois-T3-2017,iroquois,T3,NY,point,2017,iroquois-2017,Iroquois,2004-2017,7.290684932,-5.951561644,0.669561644,4.339,0.908212562,0.09178744,0.149758455,0.171666666,0.779388085,0.06763285,0.085346216
wright -T1-1984,wright ,T1,NY,point,1984,wright -1984,Wright,1983-2003,10.62863014,-2.141315068,4.243657534,5.214,0.268333333,0.731666666,0.054999999,0.105,0.705,0.135,0.513333333
wright -T1-1994,wright ,T1,NY,point,1994,wright -1994,Wright,1983-2003,10.55093151,-2.762328767,3.89430137,4.636,0.293333334,0.706666668,0.046666667,0.205,0.646666668,0.101666667,0.458333334
wright -T1-2002,wright ,T1,NY,point,2002,wright -2002,Wright,1983-2003,10.70317808,-1.713506849,4.494835616,6.026,0.338333333,0.661666667,0.058333334,0.191666666,0.643333334,0.106666666,0.491666667
wright -T1-2007,wright ,T1,NY,point,2007,wright -2007,Wright,2004-2017,11.14216438,-2.274383562,4.433890411,4.856,0.539999998,0.46,0.109999999,0.269565217,0.468333334,0.216666666,0.333333333
wright -T2-1984,wright ,T2,NY,point,1984,wright -1984,Wright,1983-2003,10.62863014,-2.141315068,4.243657534,5.214,0.25,0.749999999,0.043333333,0.163333333,0.674999999,0.118333334,0.559999999
wright -T2-1994,wright ,T2,NY,point,1994,wright -1994,Wright,1983-2003,10.55093151,-2.762328767,3.89430137,4.636,0.320000001,0.68,0.051666666,0.178333334,0.725000001,0.045,0.49
wright -T2-2002,wright ,T2,NY,point,2002,wright -2002,Wright,1983-2003,10.70317808,-1.713506849,4.494835616,6.026,0.305000002,0.694999999,0.045000001,0.188333333,0.666666667,0.1,0.489999999
wright -T2-2007,wright ,T2,NY,point,2007,wright -2007,Wright,2004-2017,11.14216438,-2.274383562,4.433890411,4.856,0.547826086,0.452173912,0.132173913,0.269565217,0.48521739,0.113043478,0.339130434
wright -T2-2017,wright ,T2,NY,point,2017,wright -2017,Wright,2004-2017,10.13931507,-2.046082192,4.046616438,4.339,0.453913043,0.546086956,0.147826087,0.372173912,0.551304348,0.073043478,0.389565217
wright -T3-1984,wright ,T3,NY,point,1984,wright -1984,Wright,1983-2003,10.62863014,-2.141315068,4.243657534,5.214,0.200000002,0.8,0.023333334,0.145000001,0.751666667,0.08,0.596666667
wright -T3-1994,wright ,T3,NY,point,1994,wright -1994,Wright,1983-2003,10.55093151,-2.762328767,3.89430137,4.636,0.339999999,0.660000001,0.051666667,0.175,0.661666667,0.111666666,0.521666667
wright -T3-2002,wright ,T3,NY,point,2002,wright -2002,Wright,1983-2003,10.70317808,-1.713506849,4.494835616,6.026,0.353333334,0.646666666,0.081666667,0.173333334,0.629999999,0.115,0.413333333
wright -T3-2007,wright ,T3,NY,point,2007,wright -2007,Wright,2004-2017,11.14216438,-2.274383562,4.433890411,4.856,0.523478259,0.476521739,0.16521739,0.227826086,0.471304347,0.093913044,0.36
wright -T3-2017,wright ,T3,NY,point,2017,wright -2017,Wright,2004-2017,10.13931507,-2.046082192,4.046616438,4.339,0.553043478,0.44695652,0.099130435,0.4,0.478260868,0.050434783,0.24347826
