mountain,site,state,measure,year,id,species1,count,total_count,rel_freq,presence ,rel_point_count,species,mountain1
wright ,T3,NY,point,1994,wright -T3-1994,Abies balsamea,50,575,0.086956522,1,48,Abies balsamea,Wright 
wright ,T2,NY,point,1994,wright -T2-1994,Abies balsamea,52,600,0.086666667,1,52,Abies balsamea,Wright 
wright ,T2,NY,point,2007,wright -T2-2007,Abies balsamea,52,600,0.086666667,1,52,Abies balsamea,Wright 
wright ,T3,NY,point,2002,wright -T3-2002,Abies balsamea,57,575,0.099130435,1,55,Abies balsamea,Wright 
wright ,T3,NY,point,1984,wright -T3-1984,Abies balsamea,57,600,0.095,1,57,Abies balsamea,Wright 
wright ,T3,NY,point,2007,wright -T3-2007,Abies balsamea,65,575,0.113043478,1,62,Abies balsamea,Wright 
wright ,T2,NY,point,1984,wright -T2-1984,Abies balsamea,64,600,0.106666667,1,64,Abies balsamea,Wright 
iroquois,T2,NY,point,1994,iroquois-T2-1994,Abies balsamea,67,600,0.111666667,1,67,Abies balsamea,Iroquois
iroquois,T2,NY,point,2002,iroquois-T2-2002,Abies balsamea,78,600,0.13,1,78,Abies balsamea,Iroquois
wright ,T1,NY,point,1994,wright -T1-1994,Abies balsamea,84,600,0.14,1,84,Abies balsamea,Wright 
iroquois,T2,NY,point,1984,iroquois-T2-1984,Abies balsamea,85,600,0.141666667,1,85,Abies balsamea,Iroquois
wright ,T3,NY,point,2017,wright -T3-2017,Abies balsamea,92,575,0.16,1,88,Abies balsamea,Wright 
iroquois,T1,NY,point,2002,iroquois-T1-2002,Abies balsamea,90,600,0.15,1,90,Abies balsamea,Iroquois
iroquois,T2,NY,point,2007,iroquois-T2-2007,Abies balsamea,100,600,0.166666667,1,100,Abies balsamea,Iroquois
iroquois,T1,NY,point,1994,iroquois-T1-1994,Abies balsamea,101,600,0.168333333,1,101,Abies balsamea,Iroquois
iroquois,T1,NY,point,2007,iroquois-T1-2007,Abies balsamea,104,600,0.173333333,1,104,Abies balsamea,Iroquois
iroquois,T1,NY,point,2017,iroquois-T1-2017,Abies balsamea,115,600,0.191666667,1,115,Abies balsamea,Iroquois
wright ,T1,NY,point,2002,wright -T1-2002,Abies balsamea,115,600,0.191666667,1,115,Abies balsamea,Wright 
iroquois,T2,NY,point,2017,iroquois-T2-2017,Abies balsamea,123,600,0.205,1,123,Abies balsamea,Iroquois
iroquois,T1,NY,point,1984,iroquois-T1-1984,Abies balsamea,128,600,0.213333333,1,128,Abies balsamea,Iroquois
wright ,T1,NY,point,2007,wright -T1-2007,Abies balsamea,165,600,0.275,1,165,Abies balsamea,Wright 
MtLaf,T2,NH,line,2017,MtLaf-T2-2017,Abies balsamea,20,2992,0.006684492,1,5,Abies balsamea,Lafayette
algonquin,T1,NY,point,1984,algonquin-T1-1984,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Algonquin
algonquin,T1,NY,point,1994,algonquin-T1-1994,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Algonquin
algonquin,T1,NY,point,2002,algonquin-T1-2002,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Algonquin
algonquin,T1,NY,point,2007,algonquin-T1-2007,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Algonquin
algonquin,T1,NY,point,2017,algonquin-T1-2017,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Algonquin
algonquin,T2,NY,point,1994,algonquin-T2-1994,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Algonquin
algonquin,T2,NY,point,2002,algonquin-T2-2002,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Algonquin
algonquin,T2,NY,point,2007,algonquin-T2-2007,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Algonquin
algonquin,T3,NY,point,1984,algonquin-T3-1984,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Algonquin
algonquin,T3,NY,point,1994,algonquin-T3-1994,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Algonquin
algonquin,T3,NY,point,2002,algonquin-T3-2002,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Algonquin
algonquin,T3,NY,point,2007,algonquin-T3-2007,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Algonquin
algonquin,T3,NY,point,2017,algonquin-T3-2017,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Algonquin
AlpGard,T1,NH,line,1983,AlpGard-T1-1983,Agrostis mertensii,6,8433,0.000711491,1,0,Agrostis mertensii,Washington
AlpGard,T1,NH,line,2017,AlpGard-T1-2017,Agrostis mertensii,1,8441,0.000118469,1,0,Agrostis mertensii,Washington
iroquois,T1,NY,point,1984,iroquois-T1-1984,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Iroquois
iroquois,T1,NY,point,1994,iroquois-T1-1994,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Iroquois
iroquois,T1,NY,point,2002,iroquois-T1-2002,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Iroquois
iroquois,T1,NY,point,2007,iroquois-T1-2007,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Iroquois
iroquois,T2,NY,point,1984,iroquois-T2-1984,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Iroquois
iroquois,T2,NY,point,1994,iroquois-T2-1994,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Iroquois
iroquois,T2,NY,point,2002,iroquois-T2-2002,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Iroquois
iroquois,T2,NY,point,2007,iroquois-T2-2007,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Iroquois
iroquois,T2,NY,point,2017,iroquois-T2-2017,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Iroquois
iroquois,T3,NY,point,1984,iroquois-T3-1984,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Iroquois
iroquois,T3,NY,point,1994,iroquois-T3-1994,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Iroquois
iroquois,T3,NY,point,2002,iroquois-T3-2002,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Iroquois
iroquois,T3,NY,point,2007,iroquois-T3-2007,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Iroquois
iroquois,T3,NY,point,2017,iroquois-T3-2017,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Iroquois
MtLaf,T1,NH,line,1983,MtLaf-T1-1983,Agrostis mertensii,0,9024,0,0,0,Agrostis mertensii,Lafayette
MtLaf,T1,NH,line,2000,MtLaf-T1-2000,Agrostis mertensii,0,9094,0,0,0,Agrostis mertensii,Lafayette
MtLaf,T1,NH,line,2009,MtLaf-T1-2009,Agrostis mertensii,0,9105,0,0,0,Agrostis mertensii,Lafayette
MtLaf,T1,NH,line,2017,MtLaf-T1-2017,Agrostis mertensii,0,9080,0,0,0,Agrostis mertensii,Lafayette
wright ,T1,NY,point,2007,wright -T1-2007,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Wright 
wright ,T2,NY,point,1984,wright -T2-1984,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Wright 
wright ,T2,NY,point,1994,wright -T2-1994,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Wright 
wright ,T2,NY,point,2002,wright -T2-2002,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Wright 
wright ,T2,NY,point,2007,wright -T2-2007,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Wright 
wright ,T2,NY,point,2017,wright -T2-2017,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Wright 
wright ,T3,NY,point,1984,wright -T3-1984,Agrostis mertensii,0,600,0,0,0,Agrostis mertensii,Wright 
wright ,T3,NY,point,2007,wright -T3-2007,Agrostis mertensii,0,575,0,0,0,Agrostis mertensii,Wright 
wright ,T3,NY,point,2017,wright -T3-2017,Agrostis mertensii,0,575,0,0,0,Agrostis mertensii,Wright 
AlpGard,T1,NH,line,2009,AlpGard-T1-2009,Agrostis mertensii,11,8452,0.001301467,1,1,Agrostis mertensii,Washington
AlpGard,T2,NH,point,2024,AlpGard-T2-2024,Agrostis mertensii,1,601,0.001663894,1,1,Agrostis mertensii,Washington
iroquois,T1,NY,point,2017,iroquois-T1-2017,Agrostis mertensii,1,600,0.001666667,1,1,Agrostis mertensii,Iroquois
wright ,T1,NY,point,1984,wright -T1-1984,Agrostis mertensii,1,600,0.001666667,1,1,Agrostis mertensii,Wright 
wright ,T3,NY,point,1994,wright -T3-1994,Agrostis mertensii,1,575,0.00173913,1,1,Agrostis mertensii,Wright 
wright ,T3,NY,point,2002,wright -T3-2002,Agrostis mertensii,1,575,0.00173913,1,1,Agrostis mertensii,Wright 
algonquin,T2,NY,point,1984,algonquin-T2-1984,Agrostis mertensii,2,570,0.003508772,1,2,Agrostis mertensii,Algonquin
AlpGard,T1,NH,line,2000,AlpGard-T1-2000,Agrostis mertensii,30,8464,0.003544423,1,2,Agrostis mertensii,Washington
AlpGard,T1,NH,point,2024,AlpGard-T1-2024,Agrostis mertensii,2,541,0.003696858,1,2,Agrostis mertensii,Washington
AlpGard,T3,NH,point,2024,AlpGard-T3-2024,Agrostis mertensii,2,581,0.003442341,1,2,Agrostis mertensii,Washington
wright ,T1,NY,point,1994,wright -T1-1994,Agrostis mertensii,2,600,0.003333333,1,2,Agrostis mertensii,Wright 
wright ,T1,NY,point,2002,wright -T1-2002,Agrostis mertensii,3,600,0.005,1,3,Agrostis mertensii,Wright 
AlpGard,T1,NH,line,1983,AlpGard-T1-1983,Agrostis mertensii,4,2685,0.001489758,1,1,Agrostis mertensii,Washington
AlpGard,T1,NH,line,2009,AlpGard-T1-2009,Agrostis mertensii,8,2685,0.002979516,1,2,Agrostis mertensii,Washington
AlpGard,T1,NH,line,2000,AlpGard-T1-2000,Agrostis mertensii,28,2685,0.010428305,1,7,Agrostis mertensii,Washington
AlpGard,T2,NH,line,2017,AlpGard-T2-2017,Agrostis mertensii,1,2895,0.000345423,1,1,Agrostis mertensii,Washington
AlpGard,T2,NH,line,2009,AlpGard-T2-2009,Agrostis mertensii,2,2895,0.000690846,1,1,Agrostis mertensii,Washington
AlpGard,T3,NH,line,2009,AlpGard-T3-2009,Agrostis mertensii,1,2853,0.000350508,1,1,Agrostis mertensii,Washington
AlpGard,T3,NH,line,1983,AlpGard-T3-1983,Agrostis mertensii,2,2853,0.000701016,1,1,Agrostis mertensii,Washington
AlpGard,T3,NH,line,2000,AlpGard-T3-2000,Agrostis mertensii,2,2853,0.000701016,1,1,Agrostis mertensii,Washington
algonquin,T1,NY,point,1984,algonquin-T1-1984,Alnus viridis  ssp. crispa ,0,600,0,0,0,Alnus viridis  ssp. crispa ,Algonquin
algonquin,T1,NY,point,1994,algonquin-T1-1994,Alnus viridis  ssp. crispa ,0,600,0,0,0,Alnus viridis  ssp. crispa ,Algonquin
algonquin,T1,NY,point,2002,algonquin-T1-2002,Alnus viridis  ssp. crispa ,0,600,0,0,0,Alnus viridis  ssp. crispa ,Algonquin
algonquin,T1,NY,point,2007,algonquin-T1-2007,Alnus viridis  ssp. crispa ,0,600,0,0,0,Alnus viridis  ssp. crispa ,Algonquin
algonquin,T1,NY,point,2017,algonquin-T1-2017,Alnus viridis  ssp. crispa ,0,600,0,0,0,Alnus viridis  ssp. crispa ,Algonquin
algonquin,T2,NY,point,1984,algonquin-T2-1984,Alnus viridis  ssp. crispa ,0,570,0,0,0,Alnus viridis  ssp. crispa ,Algonquin
algonquin,T2,NY,point,1994,algonquin-T2-1994,Alnus viridis  ssp. crispa ,0,600,0,0,0,Alnus viridis  ssp. crispa ,Algonquin
algonquin,T2,NY,point,2002,algonquin-T2-2002,Alnus viridis  ssp. crispa ,0,600,0,0,0,Alnus viridis  ssp. crispa ,Algonquin
algonquin,T2,NY,point,2007,algonquin-T2-2007,Alnus viridis  ssp. crispa ,0,600,0,0,0,Alnus viridis  ssp. crispa ,Algonquin
algonquin,T3,NY,point,1984,algonquin-T3-1984,Alnus viridis  ssp. crispa ,0,600,0,0,0,Alnus viridis  ssp. crispa ,Algonquin
algonquin,T3,NY,point,1994,algonquin-T3-1994,Alnus viridis  ssp. crispa ,0,600,0,0,0,Alnus viridis  ssp. crispa ,Algonquin
algonquin,T3,NY,point,2002,algonquin-T3-2002,Alnus viridis  ssp. crispa ,0,600,0,0,0,Alnus viridis  ssp. crispa ,Algonquin
algonquin,T3,NY,point,2017,algonquin-T3-2017,Alnus viridis  ssp. crispa ,0,600,0,0,0,Alnus viridis  ssp. crispa ,Algonquin
wright ,T1,NY,point,1984,wright -T1-1984,Alnus viridis  ssp. crispa ,0,600,0,0,0,Alnus viridis  ssp. crispa ,Wright 
wright ,T1,NY,point,1994,wright -T1-1994,Alnus viridis  ssp. crispa ,0,600,0,0,0,Alnus viridis  ssp. crispa ,Wright 
wright ,T1,NY,point,2002,wright -T1-2002,Alnus viridis  ssp. crispa ,0,600,0,0,0,Alnus viridis  ssp. crispa ,Wright 
wright ,T1,NY,point,2007,wright -T1-2007,Alnus viridis  ssp. crispa ,0,600,0,0,0,Alnus viridis  ssp. crispa ,Wright 
wright ,T3,NY,point,1984,wright -T3-1984,Alnus viridis  ssp. crispa ,0,600,0,0,0,Alnus viridis  ssp. crispa ,Wright 
wright ,T3,NY,point,1994,wright -T3-1994,Alnus viridis  ssp. crispa ,0,575,0,0,0,Alnus viridis  ssp. crispa ,Wright 
wright ,T3,NY,point,2002,wright -T3-2002,Alnus viridis  ssp. crispa ,0,575,0,0,0,Alnus viridis  ssp. crispa ,Wright 
wright ,T3,NY,point,2017,wright -T3-2017,Alnus viridis  ssp. crispa ,0,575,0,0,0,Alnus viridis  ssp. crispa ,Wright 
algonquin,T3,NY,point,2007,algonquin-T3-2007,Alnus viridis  ssp. crispa ,1,600,0.001666667,1,1,Alnus viridis  ssp. crispa ,Algonquin
wright ,T3,NY,point,2007,wright -T3-2007,Alnus viridis  ssp. crispa ,2,575,0.003478261,1,2,Alnus viridis  ssp. crispa ,Wright 
iroquois,T2,NY,point,2017,iroquois-T2-2017,Alnus viridis  ssp. crispa ,5,600,0.008333333,1,5,Alnus viridis  ssp. crispa ,Iroquois
wright ,T2,NY,point,1984,wright -T2-1984,Alnus viridis  ssp. crispa ,6,600,0.01,1,6,Alnus viridis  ssp. crispa ,Wright 
wright ,T2,NY,point,1994,wright -T2-1994,Alnus viridis  ssp. crispa ,7,600,0.011666667,1,7,Alnus viridis  ssp. crispa ,Wright 
wright ,T2,NY,point,2007,wright -T2-2007,Alnus viridis  ssp. crispa ,7,600,0.011666667,1,7,Alnus viridis  ssp. crispa ,Wright 
iroquois,T2,NY,point,1984,iroquois-T2-1984,Alnus viridis  ssp. crispa ,9,600,0.015,1,9,Alnus viridis  ssp. crispa ,Iroquois
wright ,T2,NY,point,2017,wright -T2-2017,Alnus viridis  ssp. crispa ,9,600,0.015,1,9,Alnus viridis  ssp. crispa ,Wright 
iroquois,T2,NY,point,1994,iroquois-T2-1994,Alnus viridis  ssp. crispa ,10,600,0.016666667,1,10,Alnus viridis  ssp. crispa ,Iroquois
wright ,T2,NY,point,2002,wright -T2-2002,Alnus viridis  ssp. crispa ,10,600,0.016666667,1,10,Alnus viridis  ssp. crispa ,Wright 
iroquois,T3,NY,point,1984,iroquois-T3-1984,Alnus viridis  ssp. crispa ,12,600,0.02,1,12,Alnus viridis  ssp. crispa ,Iroquois
iroquois,T1,NY,point,1994,iroquois-T1-1994,Alnus viridis  ssp. crispa ,13,600,0.021666667,1,13,Alnus viridis  ssp. crispa ,Iroquois
iroquois,T1,NY,point,2007,iroquois-T1-2007,Alnus viridis  ssp. crispa ,16,600,0.026666667,1,16,Alnus viridis  ssp. crispa ,Iroquois
iroquois,T2,NY,point,2002,iroquois-T2-2002,Alnus viridis  ssp. crispa ,16,600,0.026666667,1,16,Alnus viridis  ssp. crispa ,Iroquois
iroquois,T1,NY,point,1984,iroquois-T1-1984,Alnus viridis  ssp. crispa ,18,600,0.03,1,18,Alnus viridis  ssp. crispa ,Iroquois
iroquois,T1,NY,point,2002,iroquois-T1-2002,Alnus viridis  ssp. crispa ,20,600,0.033333333,1,20,Alnus viridis  ssp. crispa ,Iroquois
iroquois,T1,NY,point,2017,iroquois-T1-2017,Alnus viridis  ssp. crispa ,24,600,0.04,1,24,Alnus viridis  ssp. crispa ,Iroquois
iroquois,T3,NY,point,1994,iroquois-T3-1994,Alnus viridis  ssp. crispa ,24,600,0.04,1,24,Alnus viridis  ssp. crispa ,Iroquois
iroquois,T2,NY,point,2007,iroquois-T2-2007,Alnus viridis  ssp. crispa ,29,600,0.048333333,1,29,Alnus viridis  ssp. crispa ,Iroquois
iroquois,T3,NY,point,2007,iroquois-T3-2007,Alnus viridis  ssp. crispa ,33,600,0.055,1,33,Alnus viridis  ssp. crispa ,Iroquois
iroquois,T3,NY,point,2002,iroquois-T3-2002,Alnus viridis  ssp. crispa ,41,600,0.068333333,1,41,Alnus viridis  ssp. crispa ,Iroquois
iroquois,T3,NY,point,2017,iroquois-T3-2017,Alnus viridis  ssp. crispa ,43,600,0.071666667,1,43,Alnus viridis  ssp. crispa ,Iroquois
algonquin,T1,NY,point,1994,algonquin-T1-1994,Andreaea rupestris,0,600,0,0,0,Andreaea rupestris,Algonquin
algonquin,T1,NY,point,2002,algonquin-T1-2002,Andreaea rupestris,0,600,0,0,0,Andreaea rupestris,Algonquin
algonquin,T1,NY,point,2007,algonquin-T1-2007,Andreaea rupestris,0,600,0,0,0,Andreaea rupestris,Algonquin
algonquin,T1,NY,point,2017,algonquin-T1-2017,Andreaea rupestris,0,600,0,0,0,Andreaea rupestris,Algonquin
algonquin,T2,NY,point,1984,algonquin-T2-1984,Andreaea rupestris,0,570,0,0,0,Andreaea rupestris,Algonquin
algonquin,T2,NY,point,1994,algonquin-T2-1994,Andreaea rupestris,0,600,0,0,0,Andreaea rupestris,Algonquin
iroquois,T2,NY,point,1984,iroquois-T2-1984,Andreaea rupestris,0,600,0,0,0,Andreaea rupestris,Iroquois
iroquois,T2,NY,point,1994,iroquois-T2-1994,Andreaea rupestris,0,600,0,0,0,Andreaea rupestris,Iroquois
iroquois,T2,NY,point,2002,iroquois-T2-2002,Andreaea rupestris,0,600,0,0,0,Andreaea rupestris,Iroquois
iroquois,T2,NY,point,2017,iroquois-T2-2017,Andreaea rupestris,0,600,0,0,0,Andreaea rupestris,Iroquois
iroquois,T3,NY,point,1984,iroquois-T3-1984,Andreaea rupestris,0,600,0,0,0,Andreaea rupestris,Iroquois
iroquois,T3,NY,point,1994,iroquois-T3-1994,Andreaea rupestris,0,600,0,0,0,Andreaea rupestris,Iroquois
iroquois,T3,NY,point,2002,iroquois-T3-2002,Andreaea rupestris,0,600,0,0,0,Andreaea rupestris,Iroquois
iroquois,T3,NY,point,2017,iroquois-T3-2017,Andreaea rupestris,0,600,0,0,0,Andreaea rupestris,Iroquois
wright ,T3,NY,point,1984,wright -T3-1984,Andreaea rupestris,0,600,0,0,0,Andreaea rupestris,Wright 
wright ,T3,NY,point,1994,wright -T3-1994,Andreaea rupestris,0,575,0,0,0,Andreaea rupestris,Wright 
wright ,T3,NY,point,2002,wright -T3-2002,Andreaea rupestris,0,575,0,0,0,Andreaea rupestris,Wright 
wright ,T3,NY,point,2007,wright -T3-2007,Andreaea rupestris,0,575,0,0,0,Andreaea rupestris,Wright 
algonquin,T1,NY,point,1984,algonquin-T1-1984,Andreaea rupestris,1,600,0.001666667,1,1,Andreaea rupestris,Algonquin
algonquin,T2,NY,point,2002,algonquin-T2-2002,Andreaea rupestris,1,600,0.001666667,1,1,Andreaea rupestris,Algonquin
iroquois,T1,NY,point,2002,iroquois-T1-2002,Andreaea rupestris,1,600,0.001666667,1,1,Andreaea rupestris,Iroquois
iroquois,T2,NY,point,2007,iroquois-T2-2007,Andreaea rupestris,1,600,0.001666667,1,1,Andreaea rupestris,Iroquois
iroquois,T3,NY,point,2007,iroquois-T3-2007,Andreaea rupestris,1,600,0.001666667,1,1,Andreaea rupestris,Iroquois
wright ,T1,NY,point,1984,wright -T1-1984,Andreaea rupestris,1,600,0.001666667,1,1,Andreaea rupestris,Wright 
wright ,T1,NY,point,1994,wright -T1-1994,Andreaea rupestris,1,600,0.001666667,1,1,Andreaea rupestris,Wright 
wright ,T3,NY,point,2017,wright -T3-2017,Andreaea rupestris,1,575,0.00173913,1,1,Andreaea rupestris,Wright 
algonquin,T2,NY,point,2007,algonquin-T2-2007,Andreaea rupestris,2,600,0.003333333,1,2,Andreaea rupestris,Algonquin
iroquois,T1,NY,point,1994,iroquois-T1-1994,Andreaea rupestris,2,600,0.003333333,1,2,Andreaea rupestris,Iroquois
MtLaf,T1,NH,point,2024,MtLaf-T1-2024,Andreaea rupestris,2,621,0.003220612,1,2,Andreaea rupestris,Lafayette
wright ,T1,NY,point,2002,wright -T1-2002,Andreaea rupestris,2,600,0.003333333,1,2,Andreaea rupestris,Wright 
algonquin,T3,NY,point,2017,algonquin-T3-2017,Andreaea rupestris,3,600,0.005,1,3,Andreaea rupestris,Algonquin
iroquois,T1,NY,point,1984,iroquois-T1-1984,Andreaea rupestris,3,600,0.005,1,3,Andreaea rupestris,Iroquois
AlpGard,T3,NH,point,2024,AlpGard-T3-2024,Andreaea rupestris,4,581,0.006884682,1,4,Andreaea rupestris,Washington
wright ,T1,NY,point,2007,wright -T1-2007,Andreaea rupestris,4,600,0.006666667,1,4,Andreaea rupestris,Wright 
wright ,T2,NY,point,1984,wright -T2-1984,Andreaea rupestris,5,600,0.008333333,1,5,Andreaea rupestris,Wright 
iroquois,T1,NY,point,2007,iroquois-T1-2007,Andreaea rupestris,6,600,0.01,1,6,Andreaea rupestris,Iroquois
algonquin,T3,NY,point,1984,algonquin-T3-1984,Andreaea rupestris,7,600,0.011666667,1,7,Andreaea rupestris,Algonquin
algonquin,T3,NY,point,2002,algonquin-T3-2002,Andreaea rupestris,8,600,0.013333333,1,8,Andreaea rupestris,Algonquin
algonquin,T3,NY,point,1994,algonquin-T3-1994,Andreaea rupestris,9,600,0.015,1,9,Andreaea rupestris,Algonquin
wright ,T2,NY,point,2007,wright -T2-2007,Andreaea rupestris,9,600,0.015,1,9,Andreaea rupestris,Wright 
iroquois,T1,NY,point,2017,iroquois-T1-2017,Andreaea rupestris,11,600,0.018333333,1,11,Andreaea rupestris,Iroquois
wright ,T2,NY,point,1994,wright -T2-1994,Andreaea rupestris,11,600,0.018333333,1,11,Andreaea rupestris,Wright 
wright ,T2,NY,point,2002,wright -T2-2002,Andreaea rupestris,13,600,0.021666667,1,13,Andreaea rupestris,Wright 
wright ,T2,NY,point,2017,wright -T2-2017,Andreaea rupestris,15,600,0.025,1,15,Andreaea rupestris,Wright 
algonquin,T3,NY,point,2007,algonquin-T3-2007,Andreaea rupestris,19,600,0.031666667,1,19,Andreaea rupestris,Algonquin
AlpGard,T3,NH,line,2009,AlpGard-T3-2009,Andreaea rupestris,12,2853,0.004206099,1,3,Andreaea rupestris,Washington
MtLaf,T1,NH,line,2009,MtLaf-T1-2009,Andreaea rupestris,1,3025,0.000330579,1,1,Andreaea rupestris,Lafayette
MtLaf,T1,NH,line,2017,MtLaf-T1-2017,Andreaea rupestris,3,3025,0.000991736,1,1,Andreaea rupestris,Lafayette
MtLaf,T2,NH,line,2017,MtLaf-T2-2017,Andreaea rupestris,1,2992,0.000334225,1,1,Andreaea rupestris,Lafayette
AlpGard,T3,NH,point,2024,AlpGard-T3-2024,Anthoxanthum monticola,1,581,0.00172117,1,1,Anthoxanthum monticola,Washington
AlpGard,T1,NH,line,2000,AlpGard-T1-2000,Arctoparmelia centrifuga,1,2685,0.000372439,1,1,Arctoparmelia centrifuga,Washington
