site,year,Abies balsamea,Agrostis mertensii,Andreaea rupestris,Anthoxanthum monticola,Arctoparmelia centrifuga,Aspicilia cinerea,Betula cordifolia,Bistorta vivipara,Campanula rotundifolia,Carex bigelowii,Carex brunnescens,Cetraria spp.,Cladonia amaurocraea,Cladonia arbuscula,Cladonia crispata,Cladonia pleurota,Cladonia rangiferina,Cladonia spp.,Cladonia stellaris,Cladonia stygia,Cladonia uncialis,Conostomum tetragonum,Cornus canadensis,Deschampsia flexuosa,Diapensia lapponica,Flavocetraria cucullata,Geum peckii,Juncus trifidus,Kalmia procumbens,lichen,Lycopodium spp.,Maianthemum canadense,Minuartia groenlandica,moss,Nabalus spp.,Nabalus trifoliolata,Ochrolechia frigida,Pleurozium schreberi,Polytrichum juniperinum,Polytrichum spp.,Polytrichum strictum,Rhizocarpon geographicum,Rhododendron groenlandicum,Rhododendron lapponicum,rock,Salix uva-ursi,Sibbaldiopsis tridentata,soil,Solidago leiocarpa,Solidago macrophylla,Spinulum annotinum,Spinulum canadense,Stereocaulon spp.,Thamnolia spp.,Trapeliopsis spp.,Trichophorum cespitosum,Trientalis borealis,Umbilicaria spp.,Vaccinium boreale,Vaccinium uliginosum,Vaccinium vitis-idaea
AlpGard-T2,2017,0,0.000345423,0,0,0,0.001727116,0,0,0,0.000345423,0,0.18238342,0,0.047322971,0,0.00656304,0,0.002072539,0,0,0.004490501,0,0,0.002763385,0.084283247,0,0,0.013816926,0.081519862,0.01865285,0,0,0,0.000345423,0,0,0.014507772,0,0,0.001727116,0,0.013126079,0.010017271,0,0.013816926,0,0.013126079,0.082556131,0,0,0,0.002072539,0.000345423,0,0,0.002072539,0.002417962,0,0.032469775,0.325734024,0.0417962
AlpGard-T2,2024,0,0.001663894,0,0,0,0.003327787,0,0,0,0,0.001663894,0.078202995,0,0,0.001663894,0.004991681,0,0.009983361,0,0.053244592,0,0,0,0.006655574,0.026622296,0,0,0.214642263,0.013311148,0,0,0,0,0,0,0,0,0,0,0,0,0.029950083,0.011647255,0,0.006655574,0,0.026622296,0.011647255,0.001663894,0,0.008319468,0,0,0,0,0.021630616,0.003327787,0,0.039933444,0.391014975,0.031613977
AlpGard-T3,1983,0,0.000701016,0,0,0,0,0,0,0,0.021030494,0,0.101647389,0,0,0,0,0,0.013669821,0,0,0,0,0.002804066,0.002804066,0.075008763,0,0.041009464,0.026989134,0.066596565,0.056431826,0.011566772,0.000701016,0,0.015422362,0.009113214,0,0,0,0,0,0,0.027339642,0.027339642,0,0.025236593,0.00595864,0.058534876,0.104451455,0,0,0,0,0,0,0,0.060287417,0.001051525,0.000350508,0.059235892,0.098492815,0.086225026
AlpGard-T3,1989,0,0,0,0,0,0,0,0,0,0.006309148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068349106,0,0.018226428,0.092534175,0.034349807,0.167542937,0.011566772,0,0.001402033,0,0,0,0,0,0,0,0,0.01787592,0.017174904,0,0.106905012,0,0.012968805,0.308447249,0,0,0,0,0,0,0,0,0,0,0,0.123729408,0.01191728
AlpGard-T3,2000,0,0.000701016,0,0,0,0,0,0,0,0.003855591,0,0.102698913,0,0,0,0,0.010164739,0.000350508,0,0,0,0,0.000701016,0.007360673,0.065194532,0,0.044865054,0.03189625,0.106203996,0.031545741,0.001051525,0,0.005608132,0.000701016,0.004556607,0.011566772,0,0,0,0.002804066,0,0.028741675,0.01191728,0.000701016,0.060988433,0,0.051875219,0.101647389,0.001051525,0,0,0,0,0,0.001051525,0.050823694,0.001752541,0.003505082,0.06168945,0.160182264,0.03785489
AlpGard-T3,2009,0,0.000350508,0.004206099,0,0,0.002453558,0,0,0,0.006309148,0,0.112513144,0,0.007010165,0,0.000350508,0,0.01997897,0,0,0.000701016,0,0,0.002804066,0.072204697,0,0.035050824,0.016123379,0.104801963,0.022082019,0,0,0,0,0.000701016,0.007360673,0.002103049,0,0,0.003855591,0,0.028040659,0.026989134,0.002453558,0.035050824,0,0.055380301,0.098142306,0.001402033,0,0,0.010164739,0,0,0,0.012968805,0.001752541,0.004907115,0.065194532,0.183315808,0.055380301
AlpGard-T3,2017,0,0,0,0,0,0.006309148,0,0,0,0.003855591,0,0.156326674,0,0.033298283,0,0.001402033,0,0.001752541,0,0,0.001051525,0,0,0.001051525,0.079915878,0,0.046267087,0.005257624,0.086225026,0.026288118,0,0,0,0.005257624,0,0.010164739,0.002804066,0.000350508,0,0,0,0.028741675,0.033298283,0,0.020329478,0,0.028040659,0.104801963,0.002103049,0,0,0.004556607,0.000701016,0,0.000701016,0.01191728,0,0.003154574,0.045916579,0.199088679,0.04977217
AlpGard-T3,2024,0,0.003442341,0.006884682,0.00172117,0,0.003442341,0,0.00172117,0.00172117,0.04130809,0,0.055077453,0,0,0,0,0,0.00172117,0,0.008605852,0,0,0.00172117,0.008605852,0.036144578,0,0.025817556,0.194492255,0.012048193,0,0,0,0,0,0,0.010327022,0,0,0,0,0,0.068846816,0.051635112,0,0.008605852,0.00172117,0.036144578,0.017211704,0.005163511,0.003442341,0.005163511,0,0,0.00172117,0.00172117,0.122203098,0,0.00172117,0.061962134,0.177280551,0.020654045
MtLaf-T1,1983,0,0,0,0,0,0,0,0,0,0.698517269,0,0.068429752,0,0,0,0,0.026115702,0.031735537,0,0,0,0,0.001329787,0,0,0,0,0.171336344,0,0.548608595,0,0,0.001662234,0.039450355,0,0,0,0,0,0.080991736,0,0.006942149,0,0,0.023471074,0,0.014124611,0.169011085,0,0,0,0,0,0,0,0,0.002992021,0,0,0.00376773,0.111514016
MtLaf-T1,1989,0,0,0,0,0,0,0,0,0,0.155371901,0,0.149090909,0,0,0.026446281,0,0,0.019834711,0,0,0,0,0.000661157,0,0,0,0,0.071404959,0,0.003966942,0,0,0.003966942,0.001652893,0,0,0,0,0,0.05553719,0,0.00231405,0,0,0.198016529,0,0,0.137190083,0,0,0,0,0,0.003305785,0,0,0,0,0,0.035702479,0.129586777
MtLaf-T1,2000,0,0,0,0,0,0,0.007048658,0,0,0.363056597,0,0.080991736,0,0,0,0,0.029752066,0.006280992,0,0,0,0,0.004405411,0,0,0,0,0.239829549,0,0.558757586,0,0,0.033028843,0.048603475,0,0,0,0,0,0.080991736,0,0.005619835,0,0,0.076033058,0,0.006608117,0.266077316,0,0,0,0,0,0,0.000991736,0,0,0,0,0.031779195,0.165763931
MtLaf-T1,2009,0,0,0.000330579,0,0,0.007603306,0.001321225,0,0,0.118940551,0,0.098512397,0.042644628,0.00231405,0,0.004958678,0,0.008264463,0.005289256,0.016528926,0.000330579,0,0.000660068,0,0,0,0,0.165767242,0,0.544882341,0,0,0.033343772,0.058433791,0.00010983,0,0.010247934,0,0,0.100495868,0,0.009586777,0,0,0.051570248,0,0.00264245,0.493183928,0,0,0,0,0.000991736,0,0,0,0.00021966,0,0,0.028775398,0.211223876
MtLaf-T1,2017,0.002202643,0,0.000991736,0,0,0.01553719,0.007051371,0,0,0.095516256,0,0.122644628,0.042644628,0.006280992,0,0.005619835,0,0.001652893,0.004297521,0.023140496,0.005289256,0,0.003966396,0,0,0,0,0.133511486,0,0.537809735,0,0,0.009144064,0.046035242,0,0,0.003305785,0,0,0.086280992,0,0.012892562,0,0,0.087603306,0,0.004407107,0.274645574,0,0,0,0,0.000991736,0,0,0,0.000110132,0,0,0.032268722,0.436802344
MtLaf-T1,2024,0,0,0.003220612,0,0,0.011272142,0.003220612,0,0,0.252818035,0,0.00805153,0,0,0,0,0,0,0.003220612,0.001610306,0,0.004830918,0.001610306,0,0,0,0,0.449275362,0,0.006441224,0,0,0.00805153,0,0,0,0,0,0,0,0.001610306,0.090177134,0,0,0.05958132,0,0,0.001610306,0,0,0,0,0,0,0,0,0,0.001610306,0,0,0.09178744
MtLaf-T2,1983,0,0,0,0,0,0,0,0,0,0.234625668,0,0.159759358,0,0,0,0,0.001336898,0.087566845,0,0,0,0,0,0,0,0.001002674,0,0.142713904,0,0.229946524,0,0,0.002005348,0,0,0,0,0,0,0.009692513,0,0.027406417,0,0,0.019719251,0,0,0.056149733,0,0,0,0,0,0,0,0,0,0.001336898,0,0.001671123,0.025066845
MtLaf-T2,1989,0,0,0,0,0,0,0,0,0,0.233957219,0,0.25434492,0,0,0.029745989,0,0,0.01236631,0,0,0,0,0,0,0,0,0,0.033088235,0,0,0,0,0.010695187,0,0,0,0,0,0,0.028743316,0,0,0,0,0.292780749,0,0,0.030748663,0,0,0,0,0,0.020387701,0,0,0,0,0,0.010695187,0.043114973
MtLaf-T2,2000,0,0,0,0,0,0,0,0,0,0.191176471,0,0.05815508,0,0,0,0,0.039772727,0.00802139,0,0,0,0,0,0,0,0,0,0.187165775,0,0.203877005,0,0,0.00802139,0.000668449,0,0,0,0,0,0.02105615,0,0.008355615,0,0,0.054144385,0,0,0.109291444,0,0,0,0,0,0,0.000334225,0,0,0,0,0.055815508,0.058489305
MtLaf-T2,2009,0,0,0,0,0,0.009692513,0,0,0,0.048128342,0,0.141042781,0.051804813,0.001336898,0,0.003008021,0.003342246,0,0.015374332,0.040106952,0.00868984,0,0,0,0,0.004010695,0,0.104278075,0,0.192513369,0,0,0.010360963,0,0.000334225,0,0.001002674,0,0,0.029411765,0,0.009358289,0,0,0.019719251,0,0,0.181149733,0,0,0,0,0,0,0,0,0,0,0,0.066510695,0.061497326
MtLaf-T2,2017,0.006684492,0,0.000334225,0,0.001671123,0.013703209,0,0,0,0.022727273,0,0.146390374,0.073195187,0.003676471,0,0.007687166,0,0.001671123,0.013034759,0.051470588,0.005013369,0,0,0,0,0.000334225,0,0.082553476,0,0.160093583,0,0,0.001002674,0,0,0,0.002005348,0,0,0.026737968,0,0.017713904,0,0,0.026737968,0,0,0.114639037,0,0,0,0,0,0,0,0,0,0.001671123,0,0.073195187,0.151737968
MtLaf-T2,2024,0.025764895,0,0,0,0,0.01610306,0.006441224,0,0,0.127214171,0,0.025764895,0,0,0.001610306,0,0,0,0.004830918,0.022544283,0,0.004830918,0,0,0,0,0,0.541062802,0,0.041867955,0,0,0,0,0,0,0,0,0,0,0,0.066022544,0,0,0.00805153,0,0,0.001610306,0,0,0,0,0,0,0,0,0,0,0,0.062801932,0.043478261
MtLaf-T3,1983,0,0,0,0,0,0,0,0,0,0.167276355,0,0.149983372,0,0,0,0,0.005653475,0.116395078,0.003658131,0,0,0,0.003990688,0,0,0,0,0.068839375,0,0.147655471,0,0,0.002993016,0.000997672,0,0,0,0,0.026272032,0,0,0.012304623,0,0,0.020285999,0,0,0.157299634,0,0,0,0,0,0,0,0,0.008979049,0,0,0.009644164,0.097771866
MtLaf-T3,1989,0,0,0,0,0,0,0,0,0,0.2979714,0,0.132025274,0,0,0.046558031,0,0,0.004323246,0,0,0,0,0.001995344,0,0,0,0,0.039574327,0,0,0,0,0,0.001995344,0,0,0,0,0,0.114399734,0,0,0,0,0.184236781,0,0.010974393,0.066511473,0,0,0,0,0,0.025606917,0,0,0,0,0,0,0.079813768
MtLaf-T3,2000,0,0,0,0,0,0,0,0,0,0.13634852,0,0.110409046,0,0,0,0,0.071167276,0.038244097,0,0,0,0,0,0,0,0,0,0.112736947,0,0.053209179,0,0,0.014632524,0,0,0,0,0,0,0.043897572,0,0.011639508,0,0,0.119388094,0,0,0.125374127,0,0,0,0,0,0,0.000665115,0,0,0.000997672,0,0.040571999,0.134020619
MtLaf-T3,2009,0,0,0,0,0,0.005320918,0,0,0,0.049551048,0,0.118057865,0.058530096,0.007648819,0,0.008313934,0,0,0.014632524,0.045892917,0.006651147,0,0.000665115,0,0,0.000332557,0,0.087462587,0,0.08081144,0,0,0.010641836,0,0,0,0.013967409,0,0,0.040904556,0,0.008646492,0,0,0.088792817,0,0,0.186232125,0,0,0,0,0.001330229,0,0,0,0.000665115,0,0,0.020951114,0.1489857
MtLaf-T3,2017,0,0,0,0,0,0.005653475,0,0,0,0.034253409,0,0.17292983,0.047888261,0.009644164,0,0.003990688,0,0.004323246,0.019288327,0.062853342,0.008646492,0,0,0,0,0,0,0.09211839,0,0.09344862,0,0,0.003990688,0,0,0,0.001995344,0,0,0.024276688,0,0.007648819,0,0,0.071167276,0,0,0.091120718,0,0,0,0,0.000332557,0,0,0,0.000332557,0,0,0.024609245,0.22979714
MtLaf-T3,2024,0.006441224,0,0,0,0,0.011272142,0,0,0,0.127214171,0,0.003220612,0,0,0,0,0,0,0.003220612,0.009661836,0,0.006441224,0.001610306,0,0,0,0,0.628019324,0,0.004830918,0,0,0.001610306,0,0,0,0,0,0,0,0.001610306,0.040257649,0,0,0.062801932,0,0,0.004830918,0,0,0,0,0.001610306,0,0,0,0,0,0,0.012882448,0.072463768
